128^2, 11119.575822
256^2, 14595.864109
512^2, 18262.778923
1024^2, 22493.075516
2048^2, 23917.927171
4096^2, 24188.633757
128^2, 7220.354622
256^2, 13855.734401
512^2, 18301.502379
1024^2, 22360.677063
2048^2, 23912.860184
4096^2, 24191.364988
128^2, 7293.173361
256^2, 16470.049575
512^2, 18137.285712
1024^2, 22674.666455
2048^2, 23922.486632
4096^2, 24185.998905
128^2, 7308.423070
256^2, 17873.771906
512^2, 18290.528611
1024^2, 23084.123033
2048^2, 23921.264166
4096^2, 24181.874961
128^2, 7229.065839
256^2, 14938.975112
512^2, 18333.876720
1024^2, 22146.563910
2048^2, 23931.804125
4096^2, 24199.354027
128^2, 7163.627669
256^2, 15752.514905
512^2, 18340.766330
1024^2, 22694.171627
2048^2, 23927.077823
4096^2, 24196.221845
128^2, 7435.390888
256^2, 16637.461325
512^2, 23184.558567
1024^2, 23300.399479
2048^2, 23923.246156
4096^2, 24189.943309
128^2, 13173.065327
256^2, 24661.496399
512^2, 35423.462437
1024^2, 41914.305779
2048^2, 46364.849843
4096^2, 47081.709439
128^2, 13675.591784
256^2, 26613.604061
512^2, 45163.022360
1024^2, 45821.684501
2048^2, 47317.556611
4096^2, 48053.728237
128^2, 13005.593798
256^2, 42244.028705
512^2, 45683.365555
1024^2, 45752.859133
2048^2, 47270.634378
4096^2, 47037.077393
128^2, 13206.246851
256^2, 41579.221809
512^2, 45166.061952
1024^2, 45685.114900
2048^2, 47235.880362
4096^2, 48030.096995
128^2, 13285.726956
256^2, 24715.992929
512^2, 35273.114504
1024^2, 42396.232540
2048^2, 47337.569823
4096^2, 47186.137261
128^2, 13626.718648
256^2, 36946.082361
512^2, 45057.650060
1024^2, 45656.656100
2048^2, 47232.529835
4096^2, 47317.618515
128^2, 13264.718533
256^2, 42074.522884
512^2, 35491.373721
1024^2, 43318.311793
2048^2, 47247.662925
4096^2, 47358.415890
128^2, 54120.051613
256^2, 38912.712513
512^2, 85529.856938
1024^2, 85865.686571
2048^2, 90108.304839
4096^2, 90953.525314
128^2, 70138.862876
256^2, 68942.740908
512^2, 82216.066156
1024^2, 86514.289490
2048^2, 88109.664976
4096^2, 87768.810615
128^2, 35069.431438
256^2, 34778.640133
512^2, 85469.944917
1024^2, 86107.726618
2048^2, 88618.516480
4096^2, 87831.973211
128^2, 25795.227552
256^2, 33903.639487
512^2, 82211.030258
1024^2, 85700.178705
2048^2, 89996.150692
4096^2, 87270.945184
128^2, 26035.406580
256^2, 34919.796025
512^2, 83763.053016
1024^2, 86347.662986
2048^2, 89372.076705
4096^2, 90567.960109
128^2, 49695.545024
256^2, 80350.651341
512^2, 83476.523308
1024^2, 85937.158270
2048^2, 90138.136876
4096^2, 88913.749883
128^2, 65331.838006
256^2, 80698.489658
512^2, 83920.172570
1024^2, 86462.040882
2048^2, 88044.641659
4096^2, 89514.197768
128^2, 116832.980501
256^2, 58284.578774
512^2, 147654.266227
1024^2, 137606.282712
2048^2, 145596.677048
4096^2, 129559.531448
128^2, 104857.600000
256^2, 142602.770931
512^2, 156750.631241
1024^2, 147313.936999
2048^2, 148827.211712
4096^2, 116292.548955
128^2, 119156.363636
256^2, 138311.755977
512^2, 136650.099776
1024^2, 131468.395186
2048^2, 157516.078902
4096^2, 131526.054991
128^2, 119156.363636
256^2, 137518.163934
512^2, 136185.610065
1024^2, 137799.657856
2048^2, 145240.825867
4096^2, 116462.891891
128^2, 104077.022333
256^2, 62034.446293
512^2, 153532.061313
1024^2, 152321.089485
2048^2, 146730.015433
4096^2, 115219.756677
128^2, 118149.408451
256^2, 55279.130148
512^2, 154228.931916
1024^2, 151310.094556
2048^2, 144139.358013
4096^2, 115645.102027
128^2, 68646.546645
256^2, 140985.008403
512^2, 149679.634214
1024^2, 146616.939284
2048^2, 148081.767824
4096^2, 129960.751887
