100,0,0,37
100,0,128,38
100,0,256,37
100,0,512,37
100,0,64,37
100,120,0,37
100,120,128,37
100,120,256,37
100,120,512,37
100,120,64,37
100,180,0,37
100,180,128,37
100,180,256,38
100,180,512,37
100,180,64,37
100,300,0,38
100,300,128,37
100,300,256,37
100,300,512,37
100,300,64,38
100,60,0,62
100,60,128,62
100,60,256,63
100,60,512,63
100,60,64,63
500,0,0,2698
500,0,128,2690
500,0,256,2697
500,0,512,2701
500,0,64,2692
500,120,0,3167
500,120,128,3173
500,120,256,3171
500,120,512,3173
500,120,64,3169
500,180,0,2544
500,180,128,2536
500,180,256,2546
500,180,512,2539
500,180,64,2545
500,300,0,3024
500,300,128,3009
500,300,256,3021
500,300,512,3011
500,300,64,3021
500,60,0,5834
500,60,128,5829
500,60,256,5827
500,60,512,5830
500,60,64,5832
1000,0,0,24148
1000,0,128,23007
1000,0,256,24570
1000,0,512,24443
1000,0,64,22692
1000,120,0,24838
1000,120,128,24809
1000,120,256,24808
1000,120,512,24856
1000,120,64,24859
1000,180,0,21554
1000,180,128,22869
1000,180,256,22559
1000,180,512,21161
1000,180,64,25549
1000,300,0,36227
1000,300,128,37584
1000,300,256,37995
1000,300,512,36166
1000,300,64,36812
1000,60,0,46744
1000,60,128,46734
1000,60,256,46846
1000,60,512,46738
1000,60,64,46804
2000,0,0,351091
2000,0,128,351808
2000,0,256,350224
2000,0,512,351422
2000,0,64,351697
2000,120,0,308458
2000,120,128,317483
2000,120,256,287294
2000,120,512,301526
2000,120,64,278948
2000,180,0,240438
2000,180,128,305513
2000,180,256,274730
2000,180,512,290949
2000,180,64,294197
2000,300,0,370734
2000,300,128,372308
2000,300,256,374376
2000,300,512,373545
2000,300,64,372912
2000,60,0,391212
2000,60,128,396713
2000,60,256,391165
2000,60,512,390992
2000,60,64,390739
4000,0,0,2856813
4000,0,128,2859824
4000,0,256,2858888
4000,0,512,2865045
4000,0,64,2860078
4000,120,0,2905276
4000,120,128,2886792
4000,120,256,2875948
4000,120,512,2863618
4000,120,64,2900789
4000,180,0,2966231
4000,180,128,2972215
4000,180,256,2971842
4000,180,512,2967534
4000,180,64,2970241
4000,300,0,3266469
4000,300,128,3270236
4000,300,256,3270210
4000,300,512,3274247
4000,300,64,3299192
4000,60,0,3187666
4000,60,128,3200906
4000,60,256,3222783
4000,60,512,3129530
4000,60,64,3186748
